00FR               20251118                                                                                   
0601FRA0N       20260101002050100000005000 0000000000002553   
0601FRA0N       20260101002055100000005000 0000000000002556   
0601FRA0N       20260101002060100000005000 0000000000002558   
0601FRA0N       20260101002065100000005000 0000000000002563   
0601FRA0N       20260101002070100000005000 0000000000002565   
0601FRA0N       20260101002075100000005000 0000000000002568   
0601FRA0N       20260101002080100000005000 0000000000002570   
0601FRA0N       20260101002085100000005000 0000000000002574   
0601FRA0N       20260101002090100000005000 0000000000002577   
0601FRA0N       20260101002095100000005000 0000000000002579   
0601FRA0N       20260101002100100000005000 0000000000002584   
0601FRA0N       20260101002105100000005000 0000000000002586   
0601FRA0N       20260101002110100000005000 0000000000002587   
0601FRA0N       20260101002115100000005000 0000000000002589   
0601FRA0N       20260101002120100000005000 0000000000002592   
0601FRA0N       20260101002125100000005000 0000000000002593   
0601FRA0N       20260101002130100000005000 0000000000002594   
0601FRA0N       20260101002135100000005000 0000000000002597   
0601FRA0N       20260101002140100000005000 0000000000002598   
0601FRA0N       20260101002145100000005000 0000000000002600   
0601FRA0N       20260101002150100000005000 0000000000002601   
0601FRA0N       20260101002155100000005000 0000000000002604   
0601FRA0N       20260101002160100000005000 0000000000002605   
0601FRA0N       20260101002165100000005000 0000000000002606   
0601FRA0N       20260101002170100000005000 0000000000002609   
0601FRA0N       20260101002175100000005000 0000000000002610   
0601FRA0N       20260101002180100000005000 0000000000002611   
0601FRA0N       20260101002185100000005000 0000000000002614   
0601FRA0N       20260101002190100000005000 0000000000002615   
0601FRA0N       20260101002195100000005000 0000000000002617   
0601FRA0N       20260101002200100000005000 0000000000002618   
0601FRA0N       20260101002205100000005000 0000000000002621   
0601FRA0N       20260101002210100000005000 0000000000002622   
0601FRA0N       20260101002215100000005000 0000000000002623   
0601FRA0N       20260101002220100000005000 0000000000002626   
0601FRA0N       20260101002225100000005000 0000000000002627   
0601FRA0N       20260101002230100000005000 0000000000002628   
0601FRA0N       20260101002235100000005000 0000000000002630   
0601FRA0N       20260101002240100000005000 0000000000002632   
0601FRA0N       20260101002245100000005000 0000000000002633   
0601FRA0N       20260101002250100000005000 0000000000002634   
0601FRA0N       20260101002255100000005000 0000000000002637   
0601FRA0N       20260101002260100000005000 0000000000002638   
0601FRA0N       20260101002265100000005000 0000000000002639   
0601FRA0N       20260101002270100000005000 0000000000002641   
0601FRA0N       20260101002275100000005000 0000000000002643   
0601FRA0N       20260101002280100000005000 0000000000002644   
